name,party,constituency,region
FRANK  ANNOH-DOMPREH,NPP,NSAWAM/ADOAGYIRI Constituency,Eastern Region
FREDA  PREMPEH,NPP,TANO NORTH Constituency,Ahafo Region
FREDERICK YAW AHENKWAH,NDC,JAMAN NORTH Constituency,Bono Region
FREDERICK OBENG ADOM,NPP,UPPER WEST AKIM Constituency,Eastern Region
GEOFFREY  KINI,NDC,NKWANTA SOUTH Constituency,Oti Region
GEORGE KWABENA OBENG TAKYI,NPP,MANSO NKWANTA Constituency,Ashanti Region
HENRY YIADOM BOAKYE,NDC,AKWATIA Constituency,Eastern Region
HENRY  QUARTEY,NPP,AYAWASO CENTRAL Constituency,Greater Accra Region
HOTTORDZE ALEXANDER ROOSEVELT,NDC,CENTRAL TONGU Constituency,Volta Region
IBRAHIM  AHMED,NDC,BANDA Constituency,Bono Region
IBRAHIM MURTALA MUHAMMED,NDC,TAMALE CENTRAL Constituency,Northern Region
AUGUSTINE  TAWIAH,NDC,BIA WEST Constituency,Western North Region
AYARIGA  MAHAMA,NDC,BAWKU CENTRAL Constituency,Upper East Region
BAWAH MUHAMMAD BRIAMAH,NDC,EJURA SEKYEREDUMASE Constituency,Ashanti Region
BEDE ANWATAAZUMO ZIEDENG,NDC,LAWRA Constituency,Upper West Region
BENITO  OWUSU-BIO,NPP,ATWIMA NWABIAGYA NORTH Constituency,Ashanti Region
BENJAMIN SEKYERE YEBOAH,NPP,TANO SOUTH Constituency,Ahafo Region
BENJAMIN NARTEH AYIKU,NDC,LEDZOKUKU Constituency,Greater Accra Region
BENJAMlN KOMLA KPODO,NDC,HO CENTRAL Constituency,Volta Region
IDDRISS JACOB ABDULAI,NDC,SAVELEGU Constituency,Northern Region
IGNATIUS BAFFOUR AWUAH,NPP,SUNYANI WEST Constituency,Bono Region
ISAAC ADJEI MENSAH,NDC,WASSA EAST Constituency,Western Region
ISAAC  ADONGO,NDC,BOLGATANGA CENTRAL Constituency,Upper East Region
ISAAC YAW OPOKU,NPP,OFFINSO SOUTH Constituency,Ashanti Region
BENSON BABA TONGO,NDC,TALENSI Constituency,Upper East Region
BERNARD  AHIAFOR,NDC,AKATSI SOUTH Constituency,Volta Region
GEORGE KWAME ABOAGYE,NPP,ASENE/MANSO/AKROSO Constituency,Eastern Region
GEORGE KWABENA OBENG TAKYI,NPP,MANSO NKWANTA Constituency,Ashanti Region
GEORGE MIREKU DUKER,NPP,TARKWA NSUAEM Constituency,Western Region
GIFTY  TWUM-AMPOFO,NPP,ABUAKWA NORTH Constituency,Eastern Region
GIZELLA AKUSHIKA TETTEH-AGBOTUI,NDC,AWUTU SENYA WEST Constituency,Central Region
GODFRED SEIDU JASAW,NDC,WA EAST Constituency,Upper West Region
HABIB  IDDRISU,NPP,TOLON Constituency,Northern Region
HAMZA  ADAM,NDC,KUMBUNGU Constituency,Northern Region
JOHN AMPONTUAH KUMAH,NPP,EJISU Constituency,Ashanti Region
John Abdulai Jinapor,NDC,YAPEI KUSAWGU Constituency,Savanna Region
JOHN OSEI FRIMPONG,NPP,ABIREM Constituency,Eastern Region
JOHN KOBINA ABBAM ABOAH SANIE,NPP,MPOHOR Constituency,Western Region
JOHN - PETER   AMEWU,NPP,HOHOE Constituency,Volta Region
JOHNSON KWAKU ADU,NPP,AHAFO ANO SOUTH WEST Constituency,Ashanti Region
JOSEPH NIKPE BUKARI,NDC,SABOBA Constituency,Northern Region
HARUNA  IDDRISU,NDC,TAMALE SOUTH Constituency,Northern Region
HELEN ADJOA NTOSO,NDC,KRACHI WEST Constituency,Oti Region
JOSEPH  FREMPONG,NPP,NKAWKAW Constituency,Eastern Region
JOSEPH Akuerteh TETTEY,NDC,KPONE-KATAMANSO Constituency,Greater Accra Region
Joseph Kwame Kumah,NDC,KINTAMPO NORTH Constituency,Bono East Region
JOSEPH  OSEI-OWUSU,NPP,BEKWAI Constituency,Ashanti Region
JOSEPH  CUDJOE,NPP,EFFIA Constituency,Western Region
JOYCELYN  TETTEH,NDC,NORTH DAYI Constituency,Volta Region
JOSEPH  FREMPONG,NPP,NKAWKAW Constituency,Eastern Region
Joseph Appiah Boateng,NDC,AFRAM PLAINS SOUTH Constituency,Eastern Region
JOSEPH Akuerteh TETTEY,NDC,KPONE-KATAMANSO Constituency,Greater Accra Region
ISAAC KWAME ASIAMAH,NPP,ATWIMA MPONUA Constituency,Ashanti Region
ISAAC ASHAI ODAMTTEN,NDC,TEMA EAST Constituency,Greater Accra Region
ISSIFU  SEIDU,NDC,NALERIGU/GAMBAGA Constituency,North East Region
JABAAH JOHN BENNAM,NPP,ZABZUGU Constituency,Northern Region
JAMES  AGALGA,NDC,BUILSA NORTH Constituency,Upper East Region
JAMES GYAKYE QUAYSON,NDC,ASSIN NORTH Constituency,Central Region
James Klutse  Avedzi,NDC,KETU NORTH Constituency,Volta Region
JOE  GHARTEY,NPP,ESSlKADO-KETAN Constituency,Western Region
KEN OHENE AGYAPONG,NPP,ASSIN CENTRAL Constituency,Central Region
KENNEDY NYARKO OSEI,NPP,AKIM SWEDRU Constituency,Eastern Region
KINGSLEY  NYARKO,NPP,KWADASO Constituency,Ashanti Region
KOBINA TAHIR HAMMOND,NPP,ADANSI ASOKWA Constituency,Ashanti Region
JOHN KWABENA BLESS OTI,NDC,NKWANTA NORTH Constituency,Oti Region
