constituency,name,party,region
ABLEKUMA SOUTH Constituency,ALFRED OKOE VANDERPUIJE,NDC,Greater Accra Region
BIBIANI-ANHWIASO-BAKWAI Constituency,ALFRED  OBENG-BOATENG,NPP,Western North Region
TAMALE NORTH Constituency,ALHASSAN SAYIBU SUHIYINI,NDC,Northern Region
SAGNARIGU Constituency,ALHASSAN BASHIR ALHASSAN FUSEINI,NDC,Northern Region
GUSHEGU Constituency,ALHASSAN TAMPULI SULEMANA,NPP,Northern Region
BOLE BAMBOI Constituency,YUSIF  SULEMANA,NDC,Savanna Region
BIA WEST Constituency,AUGUSTINE  TAWIAH,NDC,Western North Region
AYAWASO NORTH Constituency,YUSSIF  Jajah Issaka,NDC,Greater Accra Region
BAWKU CENTRAL Constituency,AYARIGA  MAHAMA,NDC,Upper East Region
TEMA CENTRAL Constituency,YVES  HANSON-NORTEY,NPP,Greater Accra Region
EJURA SEKYEREDUMASE Constituency,BAWAH MUHAMMAD BRIAMAH,NDC,Ashanti Region
KORLE KLOTTEY Constituency,ZANETOR  AGYEMAN-RAWLINGS,NDC,Greater Accra Region
LAWRA Constituency,BEDE ANWATAAZUMO ZIEDENG,NDC,Upper West Region
SALAGA SOUTH Constituency,ZUWERA MOHAMMED IBRAHIMAH,NDC,Savanna Region
ATWIMA NWABIAGYA NORTH Constituency,BENITO  OWUSU-BIO,NPP,Ashanti Region
LEDZOKUKU Constituency,BENJAMIN NARTEH AYIKU,NDC,Greater Accra Region
TANO SOUTH Constituency,BENJAMIN SEKYERE YEBOAH,NPP,Ahafo Region
HO CENTRAL Constituency,BENJAMlN KOMLA KPODO,NDC,Volta Region
TALENSI Constituency,BENSON BABA TONGO,NDC,Upper East Region
AKATSI SOUTH Constituency,BERNARD  AHIAFOR,NDC,Volta Region
AFRAM PLAINS NORTH Constituency,BETTY NANA EFUA KROSBI MENSAH,NDC,Eastern Region
UPPER MANYA KROBO Constituency,BlSMARK TETTEH NYARKO,NDC,Eastern Region
LAMBUSSIE Constituency,BRIGHT  BAKYE YELVIEL  BALIGI,NPP,Upper West Region
